frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
31080,16:51.000,16:51.015,2,443.0,646.0,615.0,878.0,922.0,705.0,1068.0,910.0,,,,,,,,
31095,16:51.500,16:51.515,2,1781.0,742.0,1953.0,966.0,1332.0,694.0,1476.0,907.0,,,,,,,,
31110,16:52.000,16:52.015,2,1644.0,696.0,1805.0,923.0,2170.0,743.0,2390.0,989.0,,,,,,,,
31125,16:52.500,16:52.517,1,1985.0,689.0,2179.0,936.0,,,,,,,,,,,,
31140,16:53.000,16:53.017,2,1773.0,782.0,1945.0,1003.0,1337.0,696.0,1479.0,906.0,,,,,,,,
31155,16:53.500,16:53.517,2,1231.0,762.0,1377.0,965.0,811.0,685.0,959.0,899.0,,,,,,,,
31170,16:54.000,16:54.017,2,767.0,690.0,915.0,898.0,1201.0,754.0,1346.0,955.0,,,,,,,,
31185,16:54.500,16:54.517,2,1196.0,687.0,1347.0,900.0,742.0,657.0,901.0,878.0,,,,,,,,
31200,16:55.000,16:55.017,2,838.0,681.0,1004.0,911.0,268.0,600.0,476.0,860.0,,,,,,,,
31215,16:55.500,16:55.517,2,2120.0,611.0,2367.0,896.0,1531.0,636.0,1707.0,879.0,,,,,,,,
31230,16:56.000,16:56.017,1,2103.0,498.0,2355.0,789.0,,,,,,,,,,,,
31245,16:56.500,16:56.518,0,,,,,,,,,,,,,,,,
31260,16:57.000,16:57.018,0,,,,,,,,,,,,,,,,
31275,16:57.500,16:57.518,0,,,,,,,,,,,,,,,,
31290,16:58.000,16:58.018,0,,,,,,,,,,,,,,,,
31305,16:58.500,16:58.518,1,2023.0,546.0,2262.0,840.0,,,,,,,,,,,,
31320,16:59.000,16:59.018,1,1965.0,573.0,2195.0,857.0,,,,,,,,,,,,
31335,16:59.500,16:59.518,1,1949.0,575.0,2168.0,856.0,,,,,,,,,,,,
31350,17:00.000,17:00.018,2,1335.0,815.0,1513.0,1063.0,825.0,743.0,997.0,990.0,,,,,,,,
31365,17:00.500,17:00.520,2,1335.0,783.0,1514.0,1031.0,805.0,719.0,975.0,963.0,,,,,,,,
31380,17:01.000,17:01.020,2,1369.0,751.0,1553.0,1002.0,851.0,679.0,1025.0,924.0,,,,,,,,
31395,17:01.500,17:01.520,2,1434.0,728.0,1616.0,979.0,918.0,688.0,1086.0,928.0,,,,,,,,
31410,17:02.000,17:02.012,2,1332.0,657.0,1494.0,885.0,861.0,618.0,1017.0,846.0,,,,,,,,
31425,17:02.500,17:02.512,2,1226.0,620.0,1379.0,831.0,763.0,565.0,915.0,787.0,,,,,,,,
31440,17:03.000,17:03.012,2,1204.0,650.0,1357.0,856.0,743.0,604.0,898.0,824.0,,,,,,,,
31455,17:03.500,17:03.512,2,741.0,649.0,897.0,869.0,1200.0,680.0,1350.0,883.0,,,,,,,,
31470,17:04.000,17:04.012,2,673.0,645.0,833.0,866.0,1138.0,659.0,1290.0,863.0,,,,,,,,
31485,17:04.500,17:04.513,2,1329.0,657.0,1484.0,861.0,878.0,648.0,1029.0,856.0,,,,,,,,
31500,17:05.000,17:05.013,2,797.0,676.0,951.0,890.0,1240.0,668.0,1393.0,871.0,,,,,,,,
31515,17:05.500,17:05.513,2,1217.0,811.0,1369.0,1013.0,778.0,814.0,929.0,1021.0,,,,,,,,
31530,17:06.000,17:06.013,2,466.0,559.0,639.0,794.0,969.0,605.0,1127.0,820.0,,,,,,,,
31545,17:06.500,17:06.513,2,542.0,803.0,725.0,1029.0,1024.0,681.0,1195.0,890.0,,,,,,,,
31560,17:07.000,17:07.013,2,473.0,860.0,668.0,1089.0,967.0,720.0,1145.0,915.0,,,,,,,,
