frame,time,faces_detected_count,037_detected,037_tl_x,037_tl_y,037_br_x,037_br_y,038_detected,038_tl_x,038_tl_y,038_br_x,038_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
22453,12:25.881,1,False,,,,,True,1168,608,1351,881,False,,,,
22468,12:26.379,1,False,,,,,True,1159,626,1349,911,False,,,,
22483,12:26.878,1,False,,,,,True,1174,664,1367,974,False,,,,
22498,12:27.376,1,False,,,,,True,1198,710,1397,1009,False,,,,
22513,12:27.874,1,False,,,,,True,1197,673,1398,975,False,,,,
22528,12:28.372,1,False,,,,,True,1195,686,1397,984,False,,,,
22543,12:28.871,1,False,,,,,True,1189,686,1389,989,False,,,,
22558,12:29.369,1,False,,,,,True,1206,685,1404,983,False,,,,
22573,12:29.867,1,False,,,,,True,1205,689,1404,986,False,,,,
22588,12:30.366,1,False,,,,,True,1204,688,1403,986,False,,,,
22603,12:30.864,1,False,,,,,True,1203,675,1399,960,False,,,,
22618,12:31.362,1,False,,,,,True,1192,677,1394,981,False,,,,
22633,12:31.861,1,False,,,,,True,1191,630,1390,932,False,,,,
22648,12:32.359,1,False,,,,,True,1166,620,1360,925,False,,,,
22663,12:32.857,1,False,,,,,True,1181,603,1376,900,False,,,,
22678,12:33.355,1,False,,,,,True,1162,624,1357,924,False,,,,
22693,12:33.854,1,False,,,,,True,1109,622,1308,928,False,,,,
22708,12:34.352,1,False,,,,,True,1022,516,1224,809,False,,,,
22723,12:34.850,1,False,,,,,True,1078,414,1283,734,False,,,,
22738,12:35.349,1,False,,,,,True,1109,414,1315,725,False,,,,
22753,12:35.847,1,False,,,,,True,1100,571,1294,862,False,,,,
22768,12:36.345,1,False,,,,,True,1107,552,1304,850,False,,,,
22783,12:36.844,1,False,,,,,True,1239,649,1437,948,False,,,,
22798,12:37.342,1,False,,,,,True,1432,630,1637,930,False,,,,
22813,12:37.840,1,False,,,,,True,1656,675,1884,985,False,,,,
22828,12:38.338,1,False,,,,,True,1553,673,1768,979,False,,,,
22843,12:38.837,1,False,,,,,True,1540,677,1755,980,False,,,,
22858,12:39.335,1,False,,,,,True,1551,680,1765,988,False,,,,
22873,12:39.833,1,False,,,,,True,1552,676,1767,982,False,,,,
22888,12:40.332,1,False,,,,,True,1566,668,1781,976,False,,,,
22903,12:40.830,1,False,,,,,True,1574,658,1793,972,False,,,,
22918,12:41.328,1,False,,,,,True,1586,673,1803,987,False,,,,
22933,12:41.826,1,False,,,,,True,1610,686,1829,999,False,,,,
22948,12:42.325,1,False,,,,,True,1616,699,1835,1010,False,,,,
22963,12:42.823,1,False,,,,,True,1593,650,1812,969,False,,,,
22978,12:43.321,1,False,,,,,True,1583,635,1803,954,False,,,,
22993,12:43.820,1,False,,,,,True,1313,666,1509,961,False,,,,
23008,12:44.318,1,False,,,,,True,1149,630,1342,912,False,,,,
23023,12:44.816,1,False,,,,,True,1290,695,1488,987,False,,,,
23038,12:45.315,1,False,,,,,True,1247,616,1446,922,False,,,,
23053,12:45.813,1,False,,,,,True,1329,590,1529,896,False,,,,
23068,12:46.311,1,False,,,,,True,1371,578,1578,886,False,,,,
23083,12:46.809,1,False,,,,,True,1353,549,1556,861,False,,,,
