time,faces_130,faces_131,average_numeric,average_binary,task_start_sec,task_end_sec,condition
110.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
110.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
111.0,1,0,0.95,0.97,405.0,1185.0,Grid/MR
111.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
112.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
112.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
113.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
113.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
114.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
114.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
115.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
115.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
116.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
116.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
117.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
117.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
118.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
118.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
119.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
119.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
120.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
120.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
121.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
121.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
122.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
122.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
123.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
123.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
124.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
124.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
125.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
125.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
126.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
126.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
127.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
127.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
128.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
128.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
129.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
129.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
130.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
130.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
131.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
131.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
132.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
132.5,1,0,0.95,0.97,405.0,1185.0,Grid/MR
133.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
133.5,1,0,0.9,0.93,405.0,1185.0,Grid/MR
134.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
134.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
135.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
135.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
136.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
136.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
137.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
137.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
138.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
138.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
139.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
139.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
140.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
140.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
141.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
141.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
142.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
142.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
143.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
143.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
144.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
144.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
145.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
145.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
146.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
146.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
147.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
147.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
148.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
148.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
149.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
149.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
150.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
150.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
151.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
151.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
152.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
152.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
153.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
153.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
154.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
154.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
155.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
155.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
156.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
156.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
157.0,1,0,0.95,0.97,405.0,1185.0,Grid/MR
157.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
158.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
158.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
159.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
