time,faces_070,faces_071,faces_072,faces_073
433.02,,3.0,,
433.03,3.0,,,
433.05,,3.0,,
433.08,,3.0,,
433.12,,3.0,,
433.15,,3.0,,
433.18,,3.0,,
433.22,,3.0,,
433.25,,3.0,,
433.28,,3.0,,
433.32,,3.0,,
433.35,,3.0,,
433.38,,3.0,,
433.42,,3.0,,
433.45,,3.0,,
433.48,,3.0,,
433.52,,3.0,,
433.53,3.0,,,
433.55,,3.0,,
433.58,,3.0,,
433.62,,3.0,,
433.65,,3.0,,
433.68,,3.0,,
433.72,,3.0,,
433.75,,3.0,,
433.78,,3.0,,
433.82,,3.0,,
433.85,,3.0,,
433.88,,3.0,,
433.92,,3.0,,
433.95,,3.0,,
433.98,,3.0,,
434.02,,3.0,,
434.03,3.0,,,
434.05,,3.0,,
434.08,,3.0,,
434.12,,3.0,,
434.15,,3.0,,
434.18,,3.0,,
434.22,,3.0,,
434.25,,3.0,,
434.28,,3.0,,
434.32,,3.0,,
434.35,,3.0,,
434.38,,3.0,,
434.42,,3.0,,
434.45,,3.0,,
434.48,,3.0,,
434.52,,3.0,,
434.53,3.0,,,
434.55,,3.0,,
434.58,,3.0,,
434.62,,3.0,,
434.65,,3.0,,
434.68,,3.0,,
434.72,,3.0,,
434.75,,3.0,,
434.78,,3.0,,
434.82,,3.0,,
434.85,,3.0,,
434.88,,3.0,,
434.92,,3.0,,
434.95,,3.0,,
434.98,,3.0,,
435.0,3.0,,,
435.02,,3.0,,
435.05,,3.0,,
435.08,,3.0,,
435.12,,3.0,,
435.15,,3.0,,
435.18,,3.0,,
435.22,,3.0,,
435.25,,3.0,,
435.28,,3.0,,
435.32,,3.0,,
435.35,,3.0,,
435.38,,3.0,,
435.42,,3.0,,
435.45,,3.0,,
435.48,,3.0,,
435.5,3.0,,,
435.52,,3.0,,
435.55,,3.0,,
435.58,,3.0,,
435.62,,3.0,,
435.65,,3.0,,
435.68,,3.0,,
435.72,,3.0,,
435.75,,3.0,,
435.78,,3.0,,
435.82,,3.0,,
435.85,,3.0,,
435.88,,3.0,,
435.92,,3.0,,
435.95,,3.0,,
435.98,,3.0,,
436.0,3.0,,,
436.02,,3.0,,
436.05,,3.0,,
436.09,,3.0,,
436.12,,3.0,,
436.15,,3.0,,
436.19,,3.0,,
436.22,,3.0,,
436.25,,3.0,,
436.29,,3.0,,
436.32,,3.0,,
436.35,,3.0,,
436.39,,3.0,,
436.42,,3.0,,
436.45,,3.0,,
436.49,,3.0,,
436.5,3.0,,,
436.52,,3.0,,
436.55,,3.0,,
436.59,,3.0,,
436.62,,3.0,,
436.65,,3.0,,
436.69,,3.0,,
436.72,,3.0,,
436.75,,3.0,,
436.79,,3.0,,
436.82,,3.0,,
436.85,,3.0,,
436.89,,3.0,,
436.92,,3.0,,
436.95,,3.0,,
436.99,,3.0,,
437.0,3.0,,,
437.02,,3.0,,
437.05,,3.0,,
437.09,,3.0,,
437.12,,3.0,,
437.15,,3.0,,
437.19,,3.0,,
437.22,,3.0,,
437.25,,3.0,,
437.29,,3.0,,
437.32,,3.0,,
