time,faces_077,faces_078,faces_079
302.52,2.0,,
303.02,2.0,,
303.52,1.0,,
304.03,1.0,,
304.53,2.0,,
305.03,2.0,,
305.53,2.0,,
306.03,2.0,,
306.53,2.0,,
307.03,2.0,,
307.53,2.0,,
308.03,1.0,,
308.53,1.0,,
309.03,2.0,,
309.53,1.0,,
310.03,1.0,,
310.53,1.0,,
311.03,1.0,,
311.53,2.0,,
312.03,2.0,,
312.53,2.0,,
313.03,2.0,,
313.53,2.0,,
314.03,2.0,,
314.53,2.0,,
315.03,2.0,,
315.53,2.0,,
316.03,2.0,,
316.53,2.0,,
317.03,2.0,,
317.53,2.0,,
318.03,2.0,,
318.53,2.0,,
319.03,2.0,,
319.5,2.0,,
320.02,2.0,,
320.52,2.0,,
321.02,2.0,,
321.52,2.0,,
322.02,2.0,,
322.52,2.0,,
323.02,2.0,,
323.53,2.0,,
324.03,2.0,,
324.53,2.0,,
325.03,2.0,,
325.53,2.0,,
326.03,2.0,,
326.53,1.0,,
327.03,0.0,,
327.53,0.0,,
328.03,0.0,,
328.53,1.0,,
329.03,1.0,,
329.53,1.0,,
330.03,1.0,,
330.53,1.0,,
331.03,1.0,,
331.53,2.0,,
332.03,2.0,,
332.53,2.0,,
333.03,2.0,,
333.28,,1.0,
333.31,,1.0,
333.34,,1.0,
333.38,,1.0,
333.41,,1.0,
333.44,,1.0,
333.48,,1.0,
333.51,,1.0,
333.53,2.0,,
333.54,,1.0,
333.58,,1.0,
333.61,,1.0,
333.64,,1.0,
333.68,,1.0,
333.71,,1.0,
333.74,,1.0,
333.78,,1.0,
333.81,,2.0,
333.84,,2.0,
333.88,,2.0,
333.91,,2.0,
333.94,,2.0,
333.98,,2.0,
334.01,,2.0,
334.03,2.0,,
334.04,,2.0,
334.08,,2.0,
334.11,,2.0,
334.14,,2.0,
334.18,,2.0,
334.21,,2.0,
334.24,,2.0,
334.28,,2.0,
334.31,,2.0,
334.34,,2.0,
334.38,,2.0,
334.41,,2.0,
334.44,,2.0,
334.48,,2.0,
334.51,,2.0,
334.53,2.0,,
334.54,,2.0,
334.58,,2.0,
334.61,,2.0,
334.64,,2.0,
334.68,,2.0,
334.71,,2.0,
334.74,,2.0,
334.78,,2.0,
334.81,,2.0,
334.84,,2.0,
334.88,,2.0,
334.91,,1.0,
334.94,,1.0,
334.98,,2.0,
335.01,,2.0,
335.03,2.0,,
335.04,,2.0,
335.08,,2.0,
335.11,,2.0,
335.14,,2.0,
335.18,,2.0,
335.21,,2.0,
335.24,,2.0,
335.28,,2.0,
335.31,,2.0,
335.34,,2.0,
335.38,,2.0,
335.41,,2.0,
335.44,,2.0,
335.48,,2.0,
335.51,,2.0,
335.53,2.0,,
335.54,,2.0,
335.58,,2.0,
335.61,,2.0,
335.64,,2.0,
335.68,,2.0,
335.71,,2.0,
335.74,,2.0,
335.78,,2.0,
335.81,,2.0,
335.84,,2.0,
335.88,,2.0,
335.91,,2.0,
335.94,,2.0,
335.98,,2.0,
336.01,,2.0,
336.03,2.0,,
336.04,,2.0,
336.08,,2.0,
336.11,,2.0,
336.14,,2.0,
336.18,,2.0,
336.21,,2.0,
336.24,,2.0,
336.28,,2.0,
336.31,,2.0,
336.34,,2.0,
336.38,,2.0,
336.41,,2.0,
336.44,,2.0,
336.48,,2.0,
336.51,,2.0,
336.53,2.0,,
336.54,,2.0,
336.58,,2.0,
336.61,,2.0,
336.64,,2.0,
336.68,,2.0,
336.71,,2.0,
336.74,,2.0,
336.78,,2.0,
336.81,,2.0,
336.84,,2.0,
336.88,,2.0,
336.91,,2.0,
336.95,,2.0,
336.98,,2.0,
337.01,,2.0,
337.03,2.0,,
337.04,,2.0,
337.08,,2.0,
337.11,,2.0,
337.14,,2.0,
337.18,,2.0,
337.21,,2.0,
337.24,,2.0,
337.28,,2.0,
337.31,,2.0,
337.34,,2.0,
337.38,,2.0,
337.41,,2.0,
337.45,,2.0,
337.48,,2.0,
337.51,,2.0,
337.53,2.0,,
337.54,,2.0,
337.58,,2.0,
337.61,,2.0,
337.64,,2.0,
337.68,,2.0,
337.71,,2.0,
337.74,,2.0,
337.78,,2.0,
337.81,,2.0,
337.84,,2.0,
337.88,,2.0,
337.91,,2.0,
337.95,,2.0,
337.98,,2.0,
338.01,,2.0,
338.03,2.0,,
338.04,,2.0,
338.08,,2.0,
338.11,,2.0,
338.14,,2.0,
338.18,,2.0,
338.21,,2.0,
338.24,,2.0,
338.28,,2.0,
338.31,,2.0,
338.34,,2.0,
338.38,,2.0,
338.41,,2.0,
338.45,,2.0,
338.48,,2.0,
338.51,,2.0,
338.53,2.0,,
338.54,,2.0,
338.58,,2.0,
338.61,,2.0,
338.64,,2.0,
338.68,,2.0,
338.71,,2.0,
338.74,,2.0,
338.78,,2.0,
338.81,,2.0,
338.84,,2.0,
338.88,,2.0,
338.91,,2.0,
338.95,,2.0,
338.98,,2.0,
339.01,,2.0,
339.03,2.0,,
339.04,,2.0,
339.08,,2.0,
339.11,,2.0,
339.14,,2.0,
339.18,,2.0,
339.21,,2.0,
339.24,,2.0,
339.28,,2.0,
339.31,,2.0,
339.34,,2.0,
339.38,,2.0,
339.41,,2.0,
339.45,,2.0,
339.48,,2.0,
339.51,,2.0,
339.52,2.0,,
339.54,,2.0,
339.58,,2.0,
339.61,,2.0,
339.64,,2.0,
339.68,,2.0,
339.71,,2.0,
339.74,,2.0,
339.78,,2.0,
339.81,,2.0,
339.84,,2.0,
339.88,,2.0,
339.91,,2.0,
339.95,,2.0,
339.98,,2.0,
340.01,,2.0,
340.02,2.0,,
340.04,,2.0,
340.08,,2.0,
340.11,,2.0,
340.14,,2.0,
340.18,,2.0,
340.21,,2.0,
340.24,,2.0,
340.28,,2.0,
340.31,,2.0,
340.34,,2.0,
340.38,,2.0,
340.41,,2.0,
340.45,,2.0,
340.48,,2.0,
340.51,,2.0,
340.52,2.0,,
340.54,,2.0,
340.58,,2.0,
340.61,,2.0,
340.64,,2.0,
340.68,,2.0,
340.71,,2.0,
340.74,,2.0,
340.78,,2.0,
340.81,,0.0,
340.84,,1.0,
340.88,,0.0,
340.91,,0.0,
340.95,,0.0,
340.98,,0.0,
341.01,,0.0,
341.02,2.0,,
341.05,,0.0,
341.08,,0.0,
341.11,,0.0,
341.15,,0.0,
341.18,,0.0,
341.21,,0.0,
341.25,,0.0,
341.28,,0.0,
341.31,,0.0,
341.35,,0.0,
341.38,,0.0,
341.41,,0.0,
341.45,,0.0,
341.48,,0.0,
341.51,,0.0,
341.52,2.0,,
341.55,,0.0,
341.58,,0.0,
341.61,,0.0,
341.65,,0.0,
341.68,,0.0,
341.71,,0.0,
341.75,,0.0,
341.78,,0.0,
341.81,,0.0,
341.85,,0.0,
341.88,,0.0,
341.91,,0.0,
341.95,,0.0,
341.98,,0.0,
342.01,,0.0,
342.02,1.0,,
342.05,,0.0,
342.08,,0.0,
342.11,,0.0,
342.15,,0.0,
342.18,,0.0,
342.21,,0.0,
342.25,,0.0,
342.28,,0.0,
342.31,,0.0,
342.35,,0.0,
342.38,,0.0,
342.41,,0.0,
342.45,,0.0,
342.48,,0.0,
342.51,,0.0,
342.52,2.0,,
342.55,,0.0,
342.58,,0.0,
342.61,,0.0,
342.65,,0.0,
342.68,,0.0,
342.71,,0.0,
342.75,,0.0,
342.78,,0.0,
342.81,,0.0,
342.85,,0.0,
342.88,,0.0,
342.91,,0.0,
342.95,,0.0,
342.98,,0.0,
343.01,,1.0,
343.02,1.0,,
343.05,,0.0,
343.08,,1.0,
343.11,,2.0,
343.15,,2.0,
343.17,,2.0,
343.21,,2.0,
343.25,,2.0,
343.28,,2.0,
343.31,,2.0,
343.35,,2.0,
343.38,,2.0,
343.41,,2.0,
343.45,,2.0,
343.48,,2.0,
343.51,,1.0,
343.53,1.0,,
343.55,,1.0,
343.58,,1.0,
343.61,,1.0,
343.65,,1.0,
343.68,,1.0,
343.71,,1.0,
343.75,,1.0,
343.78,,1.0,
343.81,,1.0,
343.85,,1.0,
343.88,,1.0,
343.91,,1.0,
343.95,,1.0,
343.98,,1.0,
344.01,,1.0,
344.03,2.0,,
344.05,,1.0,
344.08,,1.0,
344.11,,1.0,
344.15,,1.0,
344.18,,1.0,
344.21,,2.0,
344.25,,2.0,
344.28,,2.0,
344.31,,2.0,
344.35,,2.0,
344.38,,2.0,
344.41,,2.0,
344.45,,2.0,
344.48,,2.0,
344.51,,2.0,
344.53,1.0,,
344.55,,2.0,
344.58,,2.0,
344.61,,2.0,
344.65,,2.0,
344.68,,2.0,
344.71,,2.0,
344.75,,2.0,
344.78,,2.0,
344.81,,2.0,
344.85,,2.0,
344.88,,2.0,
344.91,,2.0,
344.95,,2.0,
344.98,,2.0,
