frame,time,faces_detected_count,057_detected,057_tl_x,057_tl_y,057_br_x,057_br_y,058_detected,058_tl_x,058_tl_y,058_br_x,058_br_y,059_detected,059_tl_x,059_tl_y,059_br_x,059_br_y,060_detected,060_tl_x,060_tl_y,060_br_x,060_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
27291,14:41.332,2,False,,,,,True,1622,819,1790,1031,True,496,872,627,1054,False,,,,,False,,,,
27306,14:41.816,2,False,,,,,True,1599,815,1769,1029,True,459,857,593,1039,False,,,,,False,,,,
27321,14:42.301,2,False,,,,,True,1578,818,1744,1034,True,438,851,573,1037,False,,,,,False,,,,
27336,14:42.785,2,False,,,,,True,1569,825,1727,1044,True,436,848,572,1037,False,,,,,False,,,,
27351,14:43.269,2,False,,,,,True,1562,825,1726,1045,True,429,848,566,1038,False,,,,,False,,,,
27366,14:43.754,2,False,,,,,True,1556,812,1716,1031,True,427,833,560,1025,False,,,,,False,,,,
27381,14:44.238,2,False,,,,,True,1526,824,1678,1041,True,420,827,556,1016,False,,,,,False,,,,
27396,14:44.723,2,False,,,,,True,1519,834,1672,1047,True,423,828,558,1018,False,,,,,False,,,,
27411,14:45.207,2,False,,,,,True,1523,832,1674,1041,True,427,825,563,1018,False,,,,,False,,,,
27426,14:45.691,2,False,,,,,True,1566,806,1721,1022,True,446,815,583,1004,False,,,,,False,,,,
27441,14:46.176,1,True,1102,681,1212,852,False,,,,,False,,,,,False,,,,,False,,,,
27456,14:46.660,1,False,,,,,False,,,,,True,1127,648,1238,821,False,,,,,False,,,,
27471,14:47.145,1,False,,,,,False,,,,,True,1141,651,1251,822,False,,,,,False,,,,
27486,14:47.629,1,False,,,,,False,,,,,True,1123,657,1236,830,False,,,,,False,,,,
27501,14:48.113,1,False,,,,,False,,,,,True,1132,653,1243,828,False,,,,,False,,,,
27516,14:48.598,1,False,,,,,False,,,,,True,1114,658,1226,834,False,,,,,False,,,,
27531,14:49.082,2,False,,,,,False,,,,,True,1212,711,1322,886,False,,,,,True,52,526,210,788
27546,14:49.567,1,False,,,,,False,,,,,True,1114,747,1224,919,False,,,,,False,,,,
27561,14:50.051,2,False,,,,,False,,,,,True,1217,799,1328,969,False,,,,,True,59,650,226,908
27576,14:50.535,2,False,,,,,False,,,,,True,1167,834,1277,1006,False,,,,,True,-22,693,148,952
27591,14:51.020,2,False,,,,,False,,,,,True,1197,792,1307,960,False,,,,,True,29,624,201,886
27606,14:51.504,2,False,,,,,False,,,,,True,1165,804,1276,977,False,,,,,True,-15,658,153,916
27621,14:51.989,2,False,,,,,False,,,,,True,1165,803,1276,973,False,,,,,True,-15,659,151,916
27636,14:52.473,2,False,,,,,False,,,,,True,1163,796,1273,963,False,,,,,True,-24,644,143,905
27651,14:52.958,2,False,,,,,False,,,,,True,1163,796,1274,962,False,,,,,True,-40,645,131,903
27666,14:53.442,2,False,,,,,False,,,,,True,1157,787,1267,957,False,,,,,True,-90,645,96,907
27681,14:53.926,1,False,,,,,False,,,,,True,1164,779,1274,952,False,,,,,False,,,,
27696,14:54.411,2,True,1887,858,2026,1050,False,,,,,False,,,,,False,,,,,True,813,668,952,883
27711,14:54.895,2,False,,,,,False,,,,,True,2244,917,2413,1128,False,,,,,True,1100,593,1240,804
27726,14:55.380,2,True,2194,901,2370,1112,False,,,,,False,,,,,False,,,,,True,1056,589,1194,801
27741,14:55.864,2,True,2146,917,2316,1121,False,,,,,False,,,,,False,,,,,True,1020,608,1158,820
27756,14:56.348,2,True,764,804,881,984,True,1858,851,2037,1089,False,,,,,False,,,,,False,,,,
27771,14:56.833,2,True,604,741,730,926,True,1689,765,1858,981,False,,,,,False,,,,,False,,,,
27786,14:57.317,2,False,,,,,True,1711,739,1877,962,True,617,720,741,901,False,,,,,False,,,,
27801,14:57.802,2,False,,,,,True,1671,748,1845,967,True,603,724,728,903,False,,,,,False,,,,
27816,14:58.286,2,False,,,,,True,1649,764,1817,971,True,617,728,740,900,False,,,,,False,,,,
27831,14:58.770,2,False,,,,,True,1650,760,1816,968,True,614,726,736,899,False,,,,,False,,,,
27846,14:59.255,2,False,,,,,True,1652,749,1823,965,True,611,725,733,898,False,,,,,False,,,,
27861,14:59.739,2,False,,,,,True,1652,754,1822,967,True,611,725,733,899,False,,,,,False,,,,
27876,15:00.224,2,False,,,,,True,1650,750,1822,963,True,609,719,731,894,False,,,,,False,,,,
27891,15:00.708,2,False,,,,,True,1650,749,1820,961,True,608,721,731,895,False,,,,,False,,,,
27906,15:01.192,2,False,,,,,True,1645,750,1816,965,True,605,720,729,895,False,,,,,False,,,,
27921,15:01.677,2,False,,,,,True,1647,743,1817,958,True,604,718,728,894,False,,,,,False,,,,
27936,15:02.161,2,False,,,,,True,1645,746,1814,960,True,603,718,725,893,False,,,,,False,,,,
27951,15:02.646,2,False,,,,,True,1647,740,1816,956,True,604,716,727,892,False,,,,,False,,,,
27966,15:03.130,2,False,,,,,True,1645,740,1815,955,True,603,714,725,889,False,,,,,False,,,,
27981,15:03.614,2,False,,,,,True,1647,737,1817,953,True,604,713,726,888,False,,,,,False,,,,
27996,15:04.099,2,False,,,,,True,1648,733,1818,948,True,603,710,725,885,False,,,,,False,,,,
28011,15:04.583,2,False,,,,,True,1651,733,1820,948,True,607,709,729,885,False,,,,,False,,,,
28026,15:05.068,2,False,,,,,True,1646,737,1814,954,True,602,720,726,895,False,,,,,False,,,,
28041,15:05.552,2,False,,,,,True,1657,739,1828,952,True,615,717,737,891,False,,,,,False,,,,
28056,15:06.037,2,False,,,,,True,1655,696,1825,911,True,608,674,731,847,False,,,,,False,,,,
28071,15:06.521,2,False,,,,,True,1658,718,1826,933,True,611,698,734,874,False,,,,,False,,,,
28086,15:07.005,2,False,,,,,True,1657,710,1826,920,True,607,695,729,870,False,,,,,False,,,,
28101,15:07.490,2,False,,,,,True,1666,699,1835,913,True,613,680,736,859,False,,,,,False,,,,
28116,15:07.974,2,False,,,,,True,1670,688,1838,909,True,607,682,730,860,False,,,,,False,,,,
28131,15:08.459,2,False,,,,,True,1682,708,1849,925,True,607,707,729,884,False,,,,,False,,,,
28146,15:08.943,2,False,,,,,True,1686,703,1857,916,True,613,691,737,868,False,,,,,False,,,,
28161,15:09.427,2,False,,,,,True,1673,689,1847,910,True,605,680,728,857,False,,,,,False,,,,
28176,15:09.912,2,False,,,,,True,1675,695,1848,914,True,610,678,734,858,False,,,,,False,,,,
28191,15:10.396,2,False,,,,,True,1685,674,1860,895,True,614,646,739,824,False,,,,,False,,,,
28206,15:10.881,2,False,,,,,True,1685,688,1862,909,True,616,654,738,831,False,,,,,False,,,,
28221,15:11.365,2,False,,,,,True,1680,686,1853,908,True,592,628,716,804,False,,,,,False,,,,
28236,15:11.849,2,False,,,,,True,1679,695,1854,920,True,619,646,744,822,False,,,,,False,,,,
28251,15:12.334,2,False,,,,,True,1700,703,1882,933,True,632,663,755,840,False,,,,,False,,,,
28266,15:12.818,2,False,,,,,True,1699,698,1877,919,True,641,651,760,824,False,,,,,False,,,,
28281,15:13.303,2,False,,,,,True,1686,707,1863,939,True,621,684,741,856,False,,,,,False,,,,
28296,15:13.787,2,False,,,,,True,1685,706,1864,927,True,621,683,741,856,False,,,,,False,,,,
28311,15:14.271,2,False,,,,,True,1690,703,1868,931,True,628,676,747,846,False,,,,,False,,,,
28326,15:14.756,2,False,,,,,True,1680,679,1856,909,True,619,645,742,816,False,,,,,False,,,,
28341,15:15.240,2,False,,,,,True,1683,709,1855,937,True,624,682,745,856,False,,,,,False,,,,
28356,15:15.725,2,False,,,,,True,1701,694,1874,913,True,641,651,762,825,False,,,,,False,,,,
28371,15:16.209,2,False,,,,,True,1703,713,1878,938,True,650,671,772,842,False,,,,,False,,,,
28386,15:16.694,2,False,,,,,True,1857,706,2044,939,True,797,665,912,835,False,,,,,False,,,,
28401,15:17.178,2,False,,,,,True,1922,708,2107,948,True,851,650,964,822,False,,,,,False,,,,
28416,15:17.662,2,False,,,,,True,1939,738,2130,973,True,869,679,980,848,False,,,,,False,,,,
28431,15:18.147,2,False,,,,,True,1944,722,2136,962,True,878,664,991,835,False,,,,,False,,,,
28446,15:18.631,2,False,,,,,True,1973,720,2163,960,True,901,654,1010,819,False,,,,,False,,,,
28461,15:19.116,2,False,,,,,True,1505,808,1656,1020,True,437,674,573,860,False,,,,,False,,,,
28476,15:19.600,2,False,,,,,True,1751,758,1922,973,True,683,674,805,856,False,,,,,False,,,,
28491,15:20.084,1,False,,,,,False,,,,,True,1163,775,1274,953,False,,,,,False,,,,
28506,15:20.569,2,False,,,,,False,,,,,True,1193,773,1305,938,False,,,,,True,-32,530,159,788
28521,15:21.053,2,False,,,,,False,,,,,True,1199,772,1310,936,False,,,,,True,-10,522,175,789
28536,15:21.538,2,False,,,,,False,,,,,True,1204,775,1315,946,False,,,,,True,3,529,189,789
28551,15:22.022,2,False,,,,,False,,,,,True,1199,788,1311,957,False,,,,,True,-3,539,182,801
28566,15:22.506,2,False,,,,,False,,,,,True,1202,818,1311,989,False,,,,,True,-21,562,179,826
28581,15:22.991,2,True,1204,895,1315,1065,False,,,,,False,,,,,False,,,,,True,-10,638,193,899
28596,15:23.475,2,False,,,,,False,,,,,True,1210,905,1321,1076,False,,,,,True,-8,652,196,917
28611,15:23.960,2,False,,,,,False,,,,,True,1202,731,1313,900,False,,,,,True,-54,473,160,743
28626,15:24.444,2,False,,,,,False,,,,,True,1219,763,1329,931,False,,,,,True,-13,504,191,764
28641,15:24.928,2,False,,,,,False,,,,,True,1211,743,1323,914,False,,,,,True,-36,487,174,754
28656,15:25.413,2,False,,,,,False,,,,,True,1215,753,1324,919,False,,,,,True,-18,488,189,753
28671,15:25.897,2,False,,,,,False,,,,,True,1217,752,1327,921,False,,,,,True,-28,501,182,766
28686,15:26.382,2,False,,,,,False,,,,,True,1215,749,1326,914,False,,,,,True,-21,475,186,745
28701,15:26.866,2,True,1218,746,1329,912,False,,,,,False,,,,,False,,,,,True,-14,477,190,743
28716,15:27.350,2,False,,,,,False,,,,,True,1215,745,1327,913,False,,,,,True,-25,474,184,744
28731,15:27.835,2,False,,,,,False,,,,,True,1246,757,1361,922,False,,,,,True,-15,474,191,739
28746,15:28.319,2,False,,,,,False,,,,,True,1247,767,1359,936,False,,,,,True,-19,489,192,752
28761,15:28.804,2,False,,,,,False,,,,,True,1234,738,1346,904,False,,,,,True,-24,472,188,739
28776,15:29.288,2,False,,,,,False,,,,,True,1194,751,1307,923,False,,,,,True,-77,524,141,788
28791,15:29.773,2,True,1181,725,1293,896,False,,,,,False,,,,,False,,,,,True,-85,500,124,765
28806,15:30.257,2,False,,,,,False,,,,,True,1229,775,1341,944,False,,,,,True,-5,505,211,766
28821,15:30.741,2,False,,,,,False,,,,,True,1217,755,1328,925,False,,,,,True,-23,492,187,756
28836,15:31.226,2,False,,,,,False,,,,,True,1215,767,1326,933,False,,,,,True,-34,510,181,775
28851,15:31.710,2,False,,,,,False,,,,,True,1185,763,1295,931,False,,,,,True,-89,542,122,811
28866,15:32.195,2,True,1174,765,1283,928,False,,,,,False,,,,,False,,,,,True,-79,541,132,809
28881,15:32.679,2,True,1168,762,1276,929,False,,,,,False,,,,,False,,,,,True,-88,543,118,813
28896,15:33.163,1,False,,,,,False,,,,,True,1177,763,1288,931,False,,,,,False,,,,
28911,15:33.648,1,False,,,,,False,,,,,True,1163,772,1270,938,False,,,,,False,,,,
28926,15:34.132,2,False,,,,,True,1614,820,1770,1036,True,530,772,656,955,False,,,,,False,,,,
28941,15:34.617,2,False,,,,,True,1724,759,1880,977,True,643,701,764,875,False,,,,,False,,,,
28956,15:35.101,2,False,,,,,True,1706,772,1866,992,True,628,726,748,900,False,,,,,False,,,,
28971,15:35.585,2,False,,,,,True,1709,769,1868,988,True,628,724,748,898,False,,,,,False,,,,
28986,15:36.070,2,False,,,,,True,1705,759,1865,973,True,624,715,744,890,False,,,,,False,,,,
29001,15:36.554,2,False,,,,,True,1705,757,1866,971,True,606,708,729,886,False,,,,,False,,,,
29016,15:37.039,2,True,586,711,711,896,True,1703,755,1861,969,False,,,,,False,,,,,False,,,,
29031,15:37.523,2,False,,,,,True,1711,749,1864,963,True,584,724,710,905,False,,,,,False,,,,
29046,15:38.007,2,True,600,721,728,908,True,1727,750,1874,961,False,,,,,False,,,,,False,,,,
29061,15:38.492,2,True,593,713,718,896,True,1731,758,1869,960,False,,,,,False,,,,,False,,,,
29076,15:38.976,2,True,596,714,719,896,True,1732,753,1874,963,False,,,,,False,,,,,False,,,,
29091,15:39.461,2,True,612,720,736,903,True,1737,756,1889,966,False,,,,,False,,,,,False,,,,
29106,15:39.945,2,True,617,724,741,904,True,1738,757,1890,971,False,,,,,False,,,,,False,,,,
29121,15:40.429,2,True,1437,804,1551,975,False,,,,,False,,,,,False,,,,,True,239,756,451,989
29136,15:40.914,2,True,1956,738,2103,930,False,,,,,False,,,,,False,,,,,True,817,708,984,910
29151,15:41.398,2,True,1964,777,2108,966,False,,,,,False,,,,,False,,,,,True,841,733,1002,939
29166,15:41.883,2,True,1935,777,2078,965,False,,,,,False,,,,,False,,,,,True,844,743,997,959
29181,15:42.367,2,True,1932,795,2073,982,False,,,,,False,,,,,False,,,,,True,860,756,1007,967
29196,15:42.852,2,True,1919,801,2060,987,False,,,,,False,,,,,False,,,,,True,858,769,1003,978
29211,15:43.336,2,True,1912,798,2050,986,False,,,,,False,,,,,False,,,,,True,843,766,991,973
29226,15:43.820,2,True,1906,792,2047,980,False,,,,,False,,,,,False,,,,,True,838,755,989,972
29241,15:44.305,2,True,1907,792,2047,982,False,,,,,False,,,,,False,,,,,True,821,758,970,972
29256,15:44.789,2,True,1902,785,2042,976,False,,,,,False,,,,,False,,,,,True,814,750,961,965
29271,15:45.274,2,True,1909,784,2047,971,False,,,,,False,,,,,False,,,,,True,847,743,974,955
29286,15:45.758,2,True,1913,782,2051,968,False,,,,,False,,,,,False,,,,,True,847,747,970,959
29301,15:46.242,2,True,1907,780,2046,967,False,,,,,False,,,,,False,,,,,True,809,748,946,955
29316,15:46.727,2,True,1903,776,2041,968,False,,,,,False,,,,,False,,,,,True,805,751,947,961
29331,15:47.211,2,True,1904,776,2044,968,False,,,,,False,,,,,False,,,,,True,800,746,946,958
29346,15:47.696,2,True,1907,774,2047,968,False,,,,,False,,,,,False,,,,,True,841,760,989,970
29361,15:48.180,2,True,1881,767,2019,952,False,,,,,False,,,,,False,,,,,True,802,740,950,954
29376,15:48.664,2,True,1885,780,2024,965,False,,,,,False,,,,,False,,,,,True,756,740,913,958
29391,15:49.149,2,True,1887,795,2029,982,False,,,,,False,,,,,False,,,,,True,708,755,900,973
29406,15:49.633,2,True,1880,741,2019,928,False,,,,,False,,,,,False,,,,,True,733,715,916,950
29421,15:50.118,2,True,1860,789,1999,979,False,,,,,False,,,,,False,,,,,True,741,745,917,967
29436,15:50.602,2,True,1834,711,1971,897,False,,,,,False,,,,,False,,,,,True,732,677,907,901
29451,15:51.086,2,True,1731,767,1865,953,False,,,,,False,,,,,False,,,,,True,626,695,807,919
29466,15:51.571,2,False,,,,,False,,,,,True,1398,793,1513,964,False,,,,,True,240,594,440,842
29481,15:52.055,2,False,,,,,False,,,,,True,1365,805,1479,973,False,,,,,True,230,593,396,851
29496,15:52.540,2,False,,,,,False,,,,,True,1367,817,1481,992,False,,,,,True,243,597,402,852
29511,15:53.024,2,False,,,,,False,,,,,True,1366,821,1479,993,False,,,,,True,243,598,405,852
29526,15:53.509,2,False,,,,,False,,,,,True,1374,820,1488,992,False,,,,,True,233,597,408,849
29541,15:53.993,2,False,,,,,False,,,,,True,1379,841,1496,1014,False,,,,,True,228,621,411,871
29556,15:54.477,2,False,,,,,False,,,,,True,1418,816,1533,988,False,,,,,True,294,583,469,830
29571,15:54.962,2,False,,,,,False,,,,,True,1382,815,1496,987,False,,,,,True,251,627,424,871
29586,15:55.446,2,False,,,,,False,,,,,True,1379,813,1492,986,False,,,,,True,247,627,414,871
29601,15:55.931,2,False,,,,,False,,,,,True,1391,811,1503,982,False,,,,,True,238,607,402,855
29616,15:56.415,2,False,,,,,False,,,,,True,1393,810,1505,983,False,,,,,True,225,603,391,850
29631,15:56.899,2,False,,,,,False,,,,,True,1391,817,1503,990,False,,,,,True,200,605,376,851
29646,15:57.384,2,False,,,,,False,,,,,True,1392,817,1505,990,False,,,,,True,199,607,378,853
29661,15:57.868,2,False,,,,,False,,,,,True,1385,825,1498,996,False,,,,,True,194,612,378,859
29676,15:58.353,2,False,,,,,True,1622,870,1780,1089,True,506,834,637,1020,False,,,,,False,,,,
29691,15:58.837,2,False,,,,,True,1636,777,1798,993,True,528,758,659,944,False,,,,,False,,,,
29706,15:59.321,2,False,,,,,False,,,,,True,1553,843,1673,1019,False,,,,,True,405,768,572,1000
29721,15:59.806,2,False,,,,,False,,,,,True,2155,857,2323,1061,False,,,,,True,978,726,1119,934
29736,16:00.290,2,False,,,,,False,,,,,True,2133,834,2297,1037,False,,,,,True,949,692,1090,900
29751,16:00.775,2,False,,,,,False,,,,,True,2130,846,2293,1047,False,,,,,True,947,705,1093,915
29766,16:01.259,2,True,2130,835,2292,1038,False,,,,,False,,,,,False,,,,,True,955,699,1091,906
29781,16:01.743,2,False,,,,,False,,,,,True,2125,847,2288,1046,False,,,,,True,957,704,1102,909
