frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
12129,06:34.000,06:34.007,1,1029.0,743.0,1128.0,881.0,,,,
12146,06:34.500,06:34.517,1,1032.0,752.0,1129.0,890.0,,,,
12162,06:35.000,06:35.000,1,1113.0,727.0,1211.0,869.0,,,,
12179,06:35.500,06:35.508,1,1072.0,756.0,1170.0,896.0,,,,
12196,06:36.000,06:36.017,1,1084.0,730.0,1186.0,869.0,,,,
12213,06:36.500,06:36.525,1,1090.0,711.0,1190.0,853.0,,,,
12229,06:37.000,06:37.008,1,1099.0,711.0,1200.0,852.0,,,,
12246,06:37.500,06:37.517,1,1074.0,691.0,1175.0,833.0,,,,
12263,06:38.000,06:38.025,2,1119.0,710.0,1220.0,849.0,-74.0,701.0,119.0,956.0
12278,06:38.500,06:38.510,2,1119.0,686.0,1216.0,827.0,-76.0,676.0,120.0,927.0
12295,06:39.000,06:39.018,1,1104.0,673.0,1205.0,812.0,,,,
12312,06:39.500,06:39.527,1,1110.0,676.0,1212.0,820.0,,,,
12328,06:40.000,06:40.002,1,1107.0,678.0,1209.0,821.0,,,,
12345,06:40.500,06:40.518,1,1095.0,686.0,1196.0,833.0,,,,
12362,06:41.000,06:41.027,2,1092.0,678.0,1191.0,817.0,-22.0,784.0,77.0,931.0
12378,06:41.500,06:41.502,2,1084.0,662.0,1185.0,809.0,-30.0,781.0,70.0,931.0
12395,06:42.000,06:42.018,1,1081.0,651.0,1183.0,798.0,,,,
12412,06:42.500,06:42.528,1,1063.0,639.0,1165.0,783.0,,,,
12428,06:43.000,06:43.003,1,1063.0,653.0,1164.0,790.0,,,,
12445,06:43.500,06:43.512,1,1047.0,651.0,1150.0,792.0,,,,
12462,06:44.000,06:44.028,1,1055.0,645.0,1157.0,785.0,,,,
12478,06:44.500,06:44.503,1,1029.0,657.0,1133.0,801.0,,,,
12495,06:45.000,06:45.012,1,1037.0,648.0,1138.0,792.0,,,,
12512,06:45.500,06:45.520,1,1067.0,643.0,1169.0,787.0,,,,
12528,06:46.000,06:46.003,2,1178.0,642.0,1279.0,787.0,-75.0,663.0,170.0,946.0
12545,06:46.500,06:46.512,2,-33.0,714.0,196.0,987.0,1182.0,686.0,1282.0,824.0
12562,06:47.000,06:47.022,2,1194.0,666.0,1296.0,808.0,15.0,707.0,241.0,963.0
12578,06:47.500,06:47.505,2,1177.0,632.0,1282.0,779.0,42.0,678.0,244.0,941.0
12595,06:48.000,06:48.013,2,1180.0,629.0,1283.0,775.0,37.0,675.0,243.0,938.0
12612,06:48.500,06:48.522,2,1176.0,626.0,1279.0,774.0,60.0,712.0,258.0,967.0
12628,06:49.000,06:49.005,2,1143.0,691.0,1245.0,832.0,2.0,816.0,203.0,1062.0
12645,06:49.500,06:49.513,2,1753.0,718.0,1878.0,874.0,796.0,788.0,924.0,999.0
12662,06:50.000,06:50.022,2,1742.0,724.0,1862.0,878.0,766.0,774.0,900.0,981.0
12678,06:50.500,06:50.505,2,1806.0,729.0,1930.0,888.0,753.0,751.0,919.0,967.0
12695,06:51.000,06:51.015,2,1796.0,685.0,1919.0,847.0,735.0,735.0,901.0,949.0
12712,06:51.500,06:51.523,2,1791.0,715.0,1910.0,869.0,740.0,748.0,906.0,962.0
12728,06:52.000,06:52.007,2,833.0,731.0,991.0,950.0,1880.0,718.0,2005.0,875.0
12745,06:52.500,06:52.515,2,836.0,703.0,998.0,921.0,1886.0,697.0,2015.0,862.0
12762,06:53.000,06:53.023,2,774.0,701.0,937.0,915.0,1817.0,684.0,1940.0,846.0
12778,06:53.500,06:53.507,2,748.0,659.0,913.0,879.0,1792.0,654.0,1913.0,813.0
12795,06:54.000,06:54.015,2,1514.0,754.0,1627.0,908.0,422.0,745.0,611.0,983.0
12812,06:54.500,06:54.523,1,1128.0,677.0,1234.0,825.0,,,,
12829,06:55.000,06:55.033,1,1064.0,662.0,1173.0,811.0,,,,
12845,06:55.500,06:55.517,1,962.0,732.0,1072.0,879.0,,,,
12862,06:56.000,06:56.025,1,957.0,711.0,1059.0,859.0,,,,
12878,06:56.500,06:56.500,2,8.0,691.0,228.0,963.0,1228.0,681.0,1329.0,830.0
12895,06:57.000,06:57.017,2,609.0,757.0,771.0,984.0,1656.0,765.0,1774.0,928.0
12912,06:57.500,06:57.525,2,1785.0,690.0,1912.0,853.0,752.0,658.0,906.0,883.0
12928,06:58.000,06:58.000,2,1767.0,647.0,1895.0,815.0,743.0,614.0,900.0,847.0
12945,06:58.500,06:58.508,2,682.0,704.0,841.0,931.0,1712.0,769.0,1834.0,929.0
12962,06:59.000,06:59.025,2,1635.0,606.0,1753.0,764.0,587.0,568.0,748.0,804.0
12978,06:59.500,06:59.502,2,1702.0,603.0,1828.0,760.0,651.0,557.0,817.0,800.0
12995,07:00.000,07:00.010,2,593.0,524.0,770.0,762.0,1659.0,577.0,1779.0,733.0
13012,07:00.500,07:00.527,2,648.0,635.0,824.0,872.0,1709.0,672.0,1831.0,832.0
13028,07:01.000,07:01.002,2,672.0,644.0,849.0,878.0,1739.0,663.0,1862.0,825.0
13045,07:01.500,07:01.510,2,748.0,725.0,914.0,951.0,1793.0,738.0,1918.0,902.0
13062,07:02.000,07:02.018,2,688.0,811.0,854.0,1036.0,1724.0,827.0,1847.0,982.0
13078,07:02.500,07:02.502,2,1848.0,776.0,1976.0,940.0,799.0,748.0,965.0,966.0
13095,07:03.000,07:03.010,2,1872.0,695.0,2003.0,858.0,815.0,666.0,980.0,888.0
13112,07:03.500,07:03.520,2,544.0,732.0,730.0,975.0,1611.0,735.0,1726.0,890.0
13128,07:04.000,07:04.003,1,1023.0,718.0,1127.0,864.0,,,,
13146,07:04.500,07:04.512,1,442.0,649.0,573.0,815.0,,,,
13163,07:05.000,07:05.020,1,887.0,201.0,1002.0,372.0,,,,
13179,07:05.500,07:05.503,1,1030.0,113.0,1149.0,270.0,,,,
13196,07:06.000,07:06.012,1,1077.0,115.0,1196.0,275.0,,,,
13213,07:06.500,07:06.520,1,1153.0,609.0,1262.0,761.0,,,,
13229,07:07.000,07:07.003,2,1151.0,715.0,1256.0,865.0,-102.0,613.0,122.0,919.0
13246,07:07.500,07:07.512,1,1117.0,729.0,1223.0,879.0,,,,
13263,07:08.000,07:08.022,1,1150.0,728.0,1254.0,874.0,,,,
13279,07:08.500,07:08.505,1,1113.0,714.0,1216.0,858.0,,,,
13296,07:09.000,07:09.013,1,1053.0,725.0,1159.0,869.0,,,,
13313,07:09.500,07:09.522,1,1007.0,704.0,1112.0,847.0,,,,
13329,07:10.000,07:10.005,1,1025.0,675.0,1128.0,818.0,,,,
13346,07:10.500,07:10.513,1,1043.0,685.0,1144.0,825.0,,,,
13363,07:11.000,07:11.022,1,1039.0,696.0,1138.0,828.0,,,,
13380,07:11.500,07:11.530,1,1077.0,699.0,1176.0,827.0,,,,
13396,07:12.000,07:12.015,1,1102.0,748.0,1202.0,858.0,,,,
13413,07:12.500,07:12.523,1,1082.0,748.0,1179.0,864.0,,,,
13430,07:13.000,07:13.032,1,1062.0,729.0,1165.0,857.0,,,,
13446,07:13.500,07:13.507,1,1045.0,720.0,1143.0,858.0,,,,
13463,07:14.000,07:14.023,1,1041.0,751.0,1141.0,879.0,,,,
