frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
18504,09:22.000,09:22.027,2,1343.0,534.0,1428.0,661.0,2003.0,639.0,2100.0,774.0,,,,
18519,09:22.500,09:22.528,2,741.0,536.0,831.0,667.0,2114.0,660.0,2335.0,946.0,,,,
18534,09:23.000,09:23.028,2,453.0,607.0,554.0,750.0,1806.0,741.0,2004.0,1006.0,,,,
18549,09:23.500,09:23.528,3,210.0,697.0,326.0,851.0,1601.0,801.0,1783.0,1053.0,925.0,755.0,1015.0,881.0
18564,09:24.000,09:24.028,3,796.0,710.0,889.0,837.0,1474.0,716.0,1641.0,971.0,12.0,675.0,140.0,836.0
18579,09:24.500,09:24.528,3,65.0,691.0,191.0,844.0,1505.0,730.0,1676.0,983.0,836.0,720.0,938.0,850.0
18594,09:25.000,09:25.028,3,122.0,675.0,243.0,828.0,1543.0,737.0,1716.0,993.0,882.0,718.0,985.0,848.0
18609,09:25.500,09:25.528,3,176.0,669.0,295.0,816.0,923.0,698.0,1025.0,830.0,1584.0,712.0,1757.0,971.0
18624,09:26.000,09:26.028,3,169.0,660.0,288.0,810.0,1578.0,699.0,1750.0,956.0,917.0,689.0,1019.0,821.0
18639,09:26.500,09:26.530,3,1575.0,695.0,1750.0,952.0,163.0,654.0,283.0,806.0,912.0,685.0,1014.0,819.0
18654,09:27.000,09:27.030,3,157.0,659.0,276.0,810.0,1572.0,702.0,1750.0,960.0,907.0,691.0,1009.0,822.0
18669,09:27.500,09:27.530,3,154.0,660.0,273.0,811.0,1574.0,704.0,1755.0,963.0,904.0,691.0,1007.0,823.0
18684,09:28.000,09:28.030,3,157.0,655.0,276.0,805.0,1579.0,703.0,1762.0,962.0,906.0,687.0,1008.0,821.0
18699,09:28.500,09:28.530,3,159.0,655.0,278.0,806.0,1582.0,704.0,1766.0,966.0,907.0,690.0,1009.0,822.0
18714,09:29.000,09:29.030,3,172.0,657.0,290.0,808.0,1593.0,713.0,1778.0,970.0,917.0,691.0,1020.0,824.0
18729,09:29.500,09:29.530,3,172.0,658.0,291.0,809.0,1592.0,714.0,1778.0,971.0,918.0,692.0,1021.0,825.0
18744,09:30.000,09:30.030,3,159.0,659.0,279.0,809.0,1581.0,711.0,1761.0,975.0,909.0,692.0,1011.0,824.0
18759,09:30.500,09:30.532,3,154.0,658.0,273.0,808.0,906.0,689.0,1008.0,822.0,1561.0,710.0,1723.0,966.0
18774,09:31.000,09:31.032,3,156.0,652.0,275.0,803.0,908.0,684.0,1010.0,817.0,1557.0,706.0,1715.0,965.0
18789,09:31.500,09:31.507,3,907.0,708.0,1009.0,840.0,158.0,679.0,276.0,828.0,1549.0,733.0,1699.0,985.0
18804,09:32.000,09:32.032,3,162.0,636.0,280.0,790.0,910.0,667.0,1012.0,803.0,1551.0,697.0,1699.0,944.0
