frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,013_detected,013_tl_x,013_tl_y,013_br_x,013_br_y,gaze_on_013,014_detected,014_tl_x,014_tl_y,014_br_x,014_br_y,gaze_on_014,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
14846,08:12.769,182.0,68.0,0.0,0.0,0.0,2,False,True,1198,773,1288,953,False,False,,,,,False,True,753,823,917,1090,False
14861,08:13.267,182.0,68.0,0.0,0.0,0.0,2,False,True,1196,766,1287,943,False,False,,,,,False,True,753,816,914,1085,False
14876,08:13.765,182.0,68.0,0.0,0.0,0.0,2,False,True,1204,744,1293,926,False,False,,,,,False,True,760,794,922,1060,False
14891,08:14.262,182.0,68.0,0.0,0.0,0.0,2,False,True,1207,718,1298,895,False,False,,,,,False,True,767,765,926,1027,False
14906,08:14.760,182.0,68.0,0.0,0.0,0.0,2,False,True,1238,692,1329,872,False,False,,,,,False,True,798,739,961,1004,False
14921,08:15.258,182.0,68.0,0.0,0.0,0.0,3,False,True,1399,704,1494,887,False,False,,,,,False,True,167,550,523,930,False
14936,08:15.756,182.0,68.0,0.0,0.0,0.0,3,False,True,1545,639,1644,822,False,False,,,,,False,True,421,527,735,870,False
14951,08:16.254,,,,,,3,False,True,1397,588,1494,778,False,False,,,,,False,True,232,495,543,836,False
14966,08:16.752,486.0,1408.0,,,,3,False,True,1333,601,1429,788,False,False,,,,,False,True,120,442,424,786,False
14981,08:17.250,,,,,,3,False,True,1330,587,1427,775,False,False,,,,,False,True,94,405,404,744,False
14996,08:17.748,182.0,68.0,,,,3,False,True,1319,557,1412,753,False,False,,,,,False,True,71,394,389,700,False
15011,08:18.245,182.0,68.0,0.0,0.0,0.0,3,False,True,1272,622,1366,810,False,False,,,,,False,True,9,420,337,758,False
15026,08:18.743,182.0,68.0,0.0,0.0,0.0,3,False,True,1258,629,1352,821,False,False,,,,,False,True,-6,449,306,776,False
15041,08:19.241,182.0,68.0,0.0,0.0,0.0,3,False,True,1247,646,1339,829,False,False,,,,,False,True,-25,462,287,785,False
15056,08:19.739,182.0,68.0,0.0,0.0,0.0,3,False,True,1268,691,1363,880,False,False,,,,,False,True,16,499,339,818,False
15071,08:20.237,182.0,68.0,0.0,0.0,0.0,3,False,True,1291,675,1386,865,False,False,,,,,False,True,48,475,370,791,False
15086,08:20.735,182.0,68.0,0.0,0.0,0.0,3,False,True,1278,642,1369,828,False,False,,,,,False,True,13,415,347,756,False
15101,08:21.233,182.0,68.0,0.0,0.0,0.0,3,False,True,1272,612,1367,802,False,False,,,,,False,True,10,396,336,726,False
15116,08:21.731,182.0,68.0,0.0,0.0,0.0,3,False,True,1288,657,1382,846,False,False,,,,,False,True,40,441,360,771,False
15131,08:22.228,182.0,68.0,0.0,0.0,0.0,3,False,True,1289,654,1383,842,False,False,,,,,False,True,24,434,356,780,False
15146,08:22.726,182.0,68.0,0.0,0.0,0.0,3,False,True,1300,669,1393,857,False,False,,,,,False,True,48,461,374,787,False
15161,08:23.224,182.0,68.0,0.0,0.0,0.0,3,False,True,1308,674,1402,860,False,False,,,,,False,True,54,463,378,790,False
15176,08:23.722,182.0,68.0,0.0,0.0,0.0,3,False,True,1308,660,1403,850,False,False,,,,,False,True,60,463,384,782,False
