frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
5686,06:11.087,3,1443.0,616.0,1615.0,856.0,2027.0,382.0,2300.0,692.0,973.0,638.0,1105.0,831.0,,,,,,,,
5687,06:11.120,3,1442.0,614.0,1615.0,854.0,2026.0,381.0,2299.0,690.0,971.0,637.0,1104.0,831.0,,,,,,,,
5688,06:11.153,3,1441.0,613.0,1614.0,854.0,2026.0,379.0,2299.0,689.0,970.0,637.0,1103.0,831.0,,,,,,,,
5689,06:11.187,3,1441.0,613.0,1614.0,854.0,2027.0,380.0,2299.0,688.0,970.0,637.0,1103.0,830.0,,,,,,,,
5690,06:11.220,3,1441.0,613.0,1614.0,853.0,2029.0,377.0,2302.0,687.0,970.0,636.0,1103.0,830.0,,,,,,,,
5691,06:11.253,3,1442.0,613.0,1615.0,852.0,2032.0,376.0,2304.0,685.0,971.0,636.0,1104.0,830.0,,,,,,,,
5692,06:11.287,3,1443.0,612.0,1615.0,851.0,2035.0,374.0,2307.0,684.0,972.0,636.0,1105.0,830.0,,,,,,,,
5693,06:11.320,3,1442.0,612.0,1615.0,852.0,2036.0,373.0,2308.0,684.0,972.0,637.0,1105.0,830.0,,,,,,,,
5694,06:11.353,3,1441.0,611.0,1615.0,852.0,2037.0,375.0,2308.0,684.0,971.0,636.0,1104.0,829.0,,,,,,,,
5695,06:11.387,3,1441.0,610.0,1614.0,851.0,2038.0,375.0,2309.0,683.0,970.0,633.0,1104.0,829.0,,,,,,,,
5696,06:11.420,3,1439.0,608.0,1613.0,850.0,2038.0,374.0,2308.0,683.0,969.0,634.0,1103.0,829.0,,,,,,,,
5697,06:11.453,3,1438.0,609.0,1611.0,848.0,2037.0,373.0,2308.0,682.0,968.0,634.0,1102.0,829.0,,,,,,,,
5698,06:11.487,3,1437.0,609.0,1610.0,847.0,2038.0,372.0,2308.0,681.0,968.0,634.0,1102.0,829.0,,,,,,,,
5699,06:11.520,3,1436.0,608.0,1610.0,848.0,2038.0,371.0,2308.0,680.0,967.0,635.0,1102.0,829.0,,,,,,,,
5700,06:11.553,3,1435.0,607.0,1609.0,847.0,2038.0,371.0,2308.0,679.0,967.0,636.0,1101.0,829.0,,,,,,,,
5701,06:11.587,3,1435.0,607.0,1608.0,847.0,2038.0,373.0,2308.0,680.0,966.0,635.0,1101.0,829.0,,,,,,,,
5702,06:11.620,3,1434.0,607.0,1607.0,847.0,2038.0,372.0,2308.0,681.0,966.0,635.0,1101.0,829.0,,,,,,,,
5703,06:11.653,3,1434.0,608.0,1607.0,848.0,2039.0,373.0,2308.0,681.0,966.0,635.0,1101.0,829.0,,,,,,,,
5704,06:11.687,3,1434.0,608.0,1607.0,847.0,2040.0,373.0,2310.0,682.0,967.0,637.0,1102.0,829.0,,,,,,,,
5705,06:11.720,3,1434.0,607.0,1608.0,847.0,2041.0,373.0,2311.0,682.0,968.0,637.0,1102.0,829.0,,,,,,,,
5706,06:11.753,3,1434.0,608.0,1607.0,847.0,2042.0,375.0,2311.0,682.0,967.0,637.0,1102.0,829.0,,,,,,,,
5707,06:11.787,3,1433.0,608.0,1606.0,848.0,2041.0,376.0,2310.0,683.0,967.0,636.0,1101.0,829.0,,,,,,,,
5708,06:11.820,3,1433.0,608.0,1605.0,847.0,2042.0,375.0,2311.0,681.0,966.0,636.0,1102.0,829.0,,,,,,,,
5709,06:11.853,3,1432.0,607.0,1605.0,847.0,2044.0,373.0,2312.0,679.0,965.0,634.0,1102.0,829.0,,,,,,,,
5710,06:11.887,3,1432.0,607.0,1605.0,847.0,2047.0,371.0,2315.0,676.0,965.0,633.0,1102.0,829.0,,,,,,,,
5711,06:11.920,3,1432.0,607.0,1605.0,847.0,2051.0,372.0,2316.0,673.0,965.0,634.0,1102.0,829.0,,,,,,,,
5712,06:11.953,3,1432.0,608.0,1605.0,847.0,2055.0,370.0,2319.0,671.0,965.0,635.0,1101.0,829.0,,,,,,,,
5713,06:11.987,3,1431.0,609.0,1605.0,849.0,2056.0,370.0,2321.0,672.0,964.0,634.0,1101.0,829.0,,,,,,,,
5714,06:12.020,3,1430.0,610.0,1604.0,850.0,2058.0,371.0,2323.0,674.0,964.0,635.0,1099.0,829.0,,,,,,,,
5715,06:12.053,3,1430.0,611.0,1604.0,850.0,2060.0,373.0,2326.0,676.0,964.0,634.0,1099.0,830.0,,,,,,,,
5716,06:12.087,3,1429.0,613.0,1602.0,850.0,2063.0,373.0,2326.0,677.0,963.0,632.0,1097.0,830.0,,,,,,,,
5717,06:12.120,3,1429.0,613.0,1602.0,850.0,2065.0,370.0,2329.0,678.0,963.0,632.0,1097.0,830.0,,,,,,,,
5718,06:12.153,3,1429.0,613.0,1601.0,850.0,2066.0,367.0,2330.0,677.0,963.0,632.0,1097.0,830.0,,,,,,,,
5719,06:12.187,3,1428.0,612.0,1601.0,850.0,2067.0,367.0,2329.0,675.0,962.0,631.0,1095.0,830.0,,,,,,,,
5720,06:12.220,3,1427.0,613.0,1599.0,850.0,2066.0,367.0,2328.0,675.0,961.0,632.0,1093.0,830.0,,,,,,,,
5721,06:12.253,3,1425.0,612.0,1598.0,850.0,2066.0,366.0,2326.0,675.0,959.0,633.0,1092.0,829.0,,,,,,,,
5722,06:12.287,3,1424.0,612.0,1597.0,850.0,2066.0,366.0,2325.0,674.0,958.0,635.0,1091.0,830.0,,,,,,,,
5723,06:12.320,3,1424.0,613.0,1597.0,851.0,2066.0,370.0,2324.0,675.0,958.0,635.0,1090.0,830.0,,,,,,,,
5724,06:12.353,3,1423.0,614.0,1597.0,851.0,2066.0,371.0,2323.0,678.0,958.0,635.0,1090.0,831.0,,,,,,,,
5725,06:12.387,3,1424.0,613.0,1597.0,851.0,2067.0,371.0,2324.0,679.0,958.0,635.0,1091.0,830.0,,,,,,,,
5726,06:12.420,3,1424.0,614.0,1598.0,852.0,2067.0,371.0,2325.0,679.0,958.0,636.0,1091.0,831.0,,,,,,,,
5727,06:12.453,3,1424.0,616.0,1597.0,852.0,2066.0,373.0,2324.0,682.0,958.0,633.0,1090.0,833.0,,,,,,,,
5728,06:12.487,3,1423.0,617.0,1596.0,853.0,2065.0,377.0,2321.0,683.0,957.0,634.0,1090.0,833.0,,,,,,,,
5729,06:12.520,3,1423.0,617.0,1596.0,853.0,2064.0,378.0,2320.0,684.0,957.0,634.0,1090.0,833.0,,,,,,,,
5730,06:12.553,3,1423.0,617.0,1596.0,853.0,2063.0,377.0,2320.0,685.0,957.0,634.0,1090.0,833.0,,,,,,,,
5731,06:12.587,3,1423.0,617.0,1596.0,853.0,2062.0,377.0,2320.0,684.0,957.0,634.0,1090.0,833.0,,,,,,,,
5732,06:12.620,3,1424.0,617.0,1597.0,852.0,2062.0,376.0,2320.0,684.0,958.0,634.0,1090.0,833.0,,,,,,,,
5733,06:12.653,3,1424.0,618.0,1597.0,853.0,2063.0,379.0,2319.0,684.0,958.0,634.0,1091.0,834.0,,,,,,,,
5734,06:12.687,3,1424.0,619.0,1596.0,853.0,2062.0,379.0,2318.0,685.0,958.0,635.0,1091.0,834.0,,,,,,,,
5735,06:12.720,3,1424.0,619.0,1596.0,853.0,2062.0,382.0,2317.0,687.0,958.0,635.0,1091.0,834.0,,,,,,,,
5736,06:12.753,3,1424.0,619.0,1596.0,853.0,2062.0,383.0,2318.0,688.0,958.0,634.0,1091.0,834.0,,,,,,,,
