frame,time,faces_detected_count,061_detected,061_tl_x,061_tl_y,061_br_x,061_br_y,062_detected,062_tl_x,062_tl_y,062_br_x,062_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
35315,19:14.779,1,True,1036,852,1167,1019,False,,,,,False,,,,
35330,19:15.269,1,True,1155,805,1282,983,False,,,,,False,,,,
35345,19:15.760,1,True,1079,713,1210,890,False,,,,,False,,,,
35360,19:16.250,1,True,931,792,1067,962,False,,,,,False,,,,
35375,19:16.741,1,True,771,919,910,1094,False,,,,,False,,,,
35390,19:17.231,1,True,802,897,939,1071,False,,,,,False,,,,
35405,19:17.722,1,True,889,863,1021,1037,False,,,,,False,,,,
35420,19:18.212,1,True,905,903,1041,1081,False,,,,,False,,,,
35435,19:18.703,1,True,960,628,1094,808,False,,,,,False,,,,
35450,19:19.193,1,True,1040,535,1174,714,False,,,,,False,,,,
35465,19:19.684,1,True,1023,515,1157,694,False,,,,,False,,,,
35480,19:20.174,1,True,999,472,1135,653,False,,,,,False,,,,
35495,19:20.664,1,True,1003,463,1138,647,False,,,,,False,,,,
35510,19:21.155,1,True,1061,456,1192,637,False,,,,,False,,,,
35525,19:21.645,1,True,1070,451,1202,631,False,,,,,False,,,,
35540,19:22.136,1,True,1139,762,1264,928,False,,,,,False,,,,
35555,19:22.626,1,True,1166,689,1291,856,False,,,,,False,,,,
35570,19:23.117,0,False,,,,,False,,,,,False,,,,
35585,19:23.607,0,False,,,,,False,,,,,False,,,,
35600,19:24.098,0,False,,,,,False,,,,,False,,,,
35615,19:24.588,1,True,1031,559,1163,737,False,,,,,False,,,,
35630,19:25.079,1,True,1088,900,1216,1079,False,,,,,False,,,,
35645,19:25.569,1,True,980,1180,1112,1377,False,,,,,False,,,,
35660,19:26.060,1,True,873,731,1006,903,False,,,,,False,,,,
35675,19:26.550,1,True,980,628,1114,808,False,,,,,False,,,,
35690,19:27.041,1,True,1145,819,1274,987,False,,,,,False,,,,
35705,19:27.531,1,True,1103,666,1230,835,False,,,,,False,,,,
35720,19:28.022,1,True,1123,627,1251,799,False,,,,,False,,,,
35735,19:28.512,1,True,1116,845,1239,1005,False,,,,,False,,,,
35750,19:29.003,1,True,1028,758,1153,928,False,,,,,False,,,,
35765,19:29.493,1,True,1105,680,1235,850,False,,,,,False,,,,
35780,19:29.984,1,True,1059,600,1193,782,False,,,,,False,,,,
35795,19:30.474,1,True,1032,631,1166,810,False,,,,,False,,,,
35810,19:30.965,1,True,1049,583,1182,764,False,,,,,False,,,,
35825,19:31.455,1,True,1062,562,1195,746,False,,,,,False,,,,
35840,19:31.946,1,True,1051,525,1185,706,False,,,,,False,,,,
35855,19:32.436,1,True,1057,508,1193,692,False,,,,,False,,,,
35870,19:32.927,1,True,1059,509,1195,693,False,,,,,False,,,,
35885,19:33.417,1,True,1075,504,1209,683,False,,,,,False,,,,
35900,19:33.908,1,True,1080,501,1212,680,False,,,,,False,,,,
35915,19:34.398,1,True,1084,500,1221,683,False,,,,,False,,,,
35930,19:34.889,1,True,1100,500,1236,683,False,,,,,False,,,,
35945,19:35.379,1,True,1086,501,1225,684,False,,,,,False,,,,
