frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
14843,08:14.479,182.0,68.0,0.0,0.0,0.0,1,False,True,1193,604,1286,737,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14858,08:14.978,182.0,68.0,0.0,0.0,0.0,1,False,True,1215,632,1305,759,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14873,08:15.478,182.0,68.0,0.0,0.0,0.0,1,False,True,1206,652,1298,782,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14888,08:15.978,182.0,68.0,0.0,0.0,0.0,1,False,True,1210,665,1302,795,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14903,08:16.478,182.0,68.0,0.0,0.0,0.0,1,False,True,1224,633,1322,770,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14918,08:16.977,182.0,68.0,0.0,0.0,0.0,1,False,True,1195,489,1300,638,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14933,08:17.477,182.0,68.0,0.0,0.0,0.0,1,False,True,1188,466,1292,620,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14948,08:17.977,182.0,68.0,0.0,0.0,0.0,1,False,True,1196,516,1299,665,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14963,08:18.476,182.0,68.0,0.0,0.0,0.0,1,False,True,1178,489,1280,639,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14978,08:18.976,182.0,68.0,0.0,0.0,0.0,1,False,True,1189,435,1288,573,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14993,08:19.476,182.0,68.0,0.0,0.0,0.0,1,False,True,1163,509,1257,639,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15008,08:19.976,182.0,68.0,0.0,0.0,0.0,1,False,True,1200,429,1295,568,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15023,08:20.475,182.0,68.0,0.0,0.0,0.0,2,False,True,1201,532,1294,662,False,False,,,,,False,False,,,,,False,False,,,,,False,True,2313,648,2434,851,False
15038,08:20.975,182.0,68.0,0.0,0.0,0.0,2,False,True,1197,499,1291,633,False,False,,,,,False,False,,,,,False,False,,,,,False,True,2321,603,2437,802,False
15053,08:21.475,182.0,68.0,0.0,0.0,0.0,2,False,True,1200,577,1293,708,False,False,,,,,False,False,,,,,False,False,,,,,False,True,2312,670,2437,876,False
15068,08:21.974,182.0,68.0,0.0,0.0,0.0,1,False,True,1216,495,1309,625,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15083,08:22.474,182.0,68.0,0.0,0.0,0.0,2,False,True,1193,557,1284,689,False,False,,,,,False,False,,,,,False,False,,,,,False,True,2301,637,2431,853,False
15098,08:22.974,182.0,68.0,0.0,0.0,0.0,2,False,True,1162,537,1255,668,False,True,2264,574,2420,803,False,False,,,,,False,False,,,,,False,False,,,,,False
15113,08:23.474,182.0,68.0,0.0,0.0,0.0,2,False,True,1181,589,1273,719,False,True,2294,635,2427,854,False,False,,,,,False,False,,,,,False,False,,,,,False
15128,08:23.973,182.0,68.0,0.0,0.0,0.0,1,False,True,1197,561,1290,694,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15143,08:24.473,182.0,68.0,0.0,0.0,0.0,2,False,True,1178,616,1267,742,False,True,2310,665,2439,882,False,False,,,,,False,False,,,,,False,False,,,,,False
15158,08:24.973,182.0,68.0,0.0,0.0,0.0,2,False,True,1171,634,1261,761,False,True,2300,700,2432,921,False,False,,,,,False,False,,,,,False,False,,,,,False
15173,08:25.472,182.0,68.0,0.0,0.0,0.0,2,False,True,1118,641,1211,773,False,True,2208,691,2371,921,False,False,,,,,False,False,,,,,False,False,,,,,False
15188,08:25.972,182.0,68.0,0.0,0.0,0.0,2,False,True,1164,699,1257,829,False,True,2277,743,2440,984,False,False,,,,,False,False,,,,,False,False,,,,,False
15203,08:26.472,182.0,68.0,0.0,0.0,0.0,2,False,True,1250,694,1341,819,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-81,442,118,722,False
15218,08:26.971,182.0,68.0,0.0,0.0,0.0,2,False,True,1274,708,1365,839,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-67,478,141,756,False
15233,08:27.471,182.0,68.0,0.0,0.0,0.0,1,False,True,1227,725,1320,856,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15248,08:27.971,182.0,68.0,0.0,0.0,0.0,1,False,True,1197,720,1290,853,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15263,08:28.471,182.0,68.0,0.0,0.0,0.0,2,False,True,1738,682,1846,826,False,False,,,,,False,False,,,,,False,False,,,,,False,True,604,573,743,810,False
15278,08:28.970,182.0,68.0,0.0,0.0,0.0,2,False,True,1287,680,1381,812,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-16,505,190,771,False
15293,08:29.470,182.0,68.0,0.0,0.0,0.0,1,False,True,1203,698,1296,828,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15308,08:29.970,182.0,68.0,0.0,0.0,0.0,2,False,True,1162,718,1254,848,False,True,2144,777,2297,993,False,False,,,,,False,False,,,,,False,False,,,,,False
15323,08:30.469,182.0,68.0,0.0,0.0,0.0,2,False,True,1164,730,1256,861,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1816,800,1941,992,False
15338,08:30.969,182.0,68.0,0.0,0.0,0.0,1,False,True,1176,744,1265,872,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15353,08:31.469,182.0,68.0,0.0,0.0,0.0,1,False,True,1198,684,1296,819,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15368,08:31.969,182.0,68.0,0.0,0.0,0.0,2,False,True,1221,669,1325,812,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1724,779,1847,956,False
15383,08:32.468,182.0,68.0,0.0,0.0,0.0,2,False,True,1188,654,1300,814,False,True,2077,655,2235,906,False,False,,,,,False,False,,,,,False,False,,,,,False
15398,08:32.968,182.0,68.0,0.0,0.0,0.0,1,False,True,1184,681,1300,849,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15413,08:33.468,182.0,68.0,0.0,0.0,0.0,1,False,True,1208,665,1324,826,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15428,08:33.967,182.0,68.0,0.0,0.0,0.0,1,False,True,1193,608,1310,773,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15443,08:34.467,182.0,68.0,0.0,0.0,0.0,1,False,True,1166,569,1307,764,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
15458,08:34.967,182.0,68.0,0.0,0.0,0.0,2,False,True,1213,610,1356,818,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-123,470,209,904,False
15473,08:35.467,182.0,68.0,0.0,0.0,0.0,2,False,True,1230,611,1358,798,False,False,,,,,False,False,,,,,False,False,,,,,False,True,216,443,461,775,False
15488,08:35.966,182.0,68.0,0.0,0.0,0.0,2,False,True,1232,739,1351,908,False,False,,,,,False,False,,,,,False,False,,,,,False,True,185,557,417,847,False
15503,08:36.466,182.0,68.0,0.0,0.0,0.0,2,False,True,1237,750,1360,924,False,False,,,,,False,False,,,,,False,False,,,,,False,True,201,537,437,840,False
15518,08:36.966,182.0,68.0,0.0,0.0,0.0,2,False,True,1386,739,1513,911,False,False,,,,,False,False,,,,,False,False,,,,,False,True,427,529,633,814,False
15533,08:37.465,854.0,734.0,672.0,666.0,946.1183858270592,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1563,595,1731,834,False
15548,08:37.965,1026.0,724.0,172.0,-10.0,172.29045243425418,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1799,538,1979,760,False
15563,08:38.465,1028.0,662.0,2.0,-62.0,62.032249677083286,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1830,475,2016,707,False
15578,08:38.965,1210.0,854.0,182.0,192.0,264.55245226608656,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1505,485,1671,724,False
15593,08:39.464,182.0,58.0,-1028.0,-796.0,1300.1538370516007,2,False,True,1175,726,1283,871,False,False,,,,,False,False,,,,,False,False,,,,,False,True,103,591,326,858,False
15608,08:39.964,1034.0,836.0,852.0,778.0,1153.7712078224176,2,True,True,967,739,1074,872,True,True,1980,780,2207,1025,False,False,,,,,False,False,,,,,False,False,,,,,False
15623,08:40.464,182.0,58.0,-852.0,-778.0,1153.7712078224176,2,False,True,911,713,1021,850,False,True,1909,753,2124,990,False,False,,,,,False,False,,,,,False,False,,,,,False
15638,08:40.963,182.0,58.0,0.0,0.0,0.0,2,False,True,857,757,966,890,False,True,1843,791,2048,1027,False,False,,,,,False,False,,,,,False,False,,,,,False
15653,08:41.463,182.0,58.0,0.0,0.0,0.0,2,False,True,623,708,743,858,False,True,1588,736,1770,962,False,False,,,,,False,False,,,,,False,False,,,,,False
15668,08:41.963,182.0,58.0,0.0,0.0,0.0,2,False,True,607,653,729,808,False,True,1565,685,1743,906,False,False,,,,,False,False,,,,,False,False,,,,,False
15683,08:42.462,182.0,58.0,0.0,0.0,0.0,2,False,True,996,669,1101,812,False,True,1956,716,2171,930,False,False,,,,,False,False,,,,,False,False,,,,,False
15698,08:42.962,182.0,58.0,0.0,0.0,0.0,2,False,True,1753,653,1874,810,False,False,,,,,False,False,,,,,False,False,,,,,False,True,900,664,1021,875,False
