frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
3911,03:11.030,1,1149.0,983.0,1278.0,1167.0
3926,03:11.530,1,1154.0,1001.0,1287.0,1187.0
3941,03:12.030,1,1164.0,1013.0,1294.0,1199.0
3956,03:12.530,1,1169.0,995.0,1297.0,1182.0
3971,03:13.032,1,1168.0,981.0,1296.0,1162.0
3986,03:13.532,1,1175.0,774.0,1304.0,951.0
4001,03:14.032,1,1165.0,785.0,1296.0,965.0
4016,03:14.532,1,1155.0,790.0,1285.0,973.0
4031,03:15.032,1,1164.0,812.0,1293.0,988.0
4046,03:15.532,1,1196.0,881.0,1324.0,1061.0
4061,03:16.032,1,1170.0,935.0,1303.0,1114.0
4076,03:16.532,1,1169.0,974.0,1299.0,1157.0
4090,03:17.000,1,1139.0,954.0,1270.0,1133.0
4105,03:17.500,1,1144.0,968.0,1274.0,1147.0
4120,03:18.000,1,1164.0,948.0,1293.0,1131.0
4135,03:18.500,1,1153.0,965.0,1284.0,1147.0
4150,03:19.000,1,1167.0,969.0,1296.0,1158.0
4165,03:19.500,1,1174.0,1034.0,1303.0,1221.0
4180,03:20.000,1,1420.0,1179.0,1551.0,1372.0
4196,03:20.525,0,,,,
4211,03:21.027,1,1682.0,1272.0,1836.0,1480.0
4226,03:21.527,1,1607.0,1115.0,1740.0,1311.0
4241,03:22.027,1,1374.0,1069.0,1500.0,1254.0
4256,03:22.527,1,1224.0,952.0,1350.0,1132.0
4271,03:23.027,1,1197.0,997.0,1324.0,1176.0
4286,03:23.527,1,1211.0,967.0,1338.0,1144.0
4301,03:24.027,1,1241.0,935.0,1368.0,1111.0
4316,03:24.527,1,1219.0,945.0,1348.0,1131.0
4331,03:25.028,1,1218.0,982.0,1345.0,1162.0
4346,03:25.528,1,1220.0,971.0,1348.0,1155.0
4361,03:26.028,1,1219.0,972.0,1345.0,1149.0
4376,03:26.528,1,1218.0,972.0,1345.0,1155.0
4391,03:27.028,1,1220.0,976.0,1348.0,1159.0
4406,03:27.528,1,1218.0,974.0,1346.0,1156.0
4421,03:28.028,1,1217.0,978.0,1345.0,1161.0
4436,03:28.528,1,1220.0,974.0,1350.0,1156.0
4451,03:29.030,1,1215.0,974.0,1344.0,1157.0
4466,03:29.530,1,1205.0,974.0,1333.0,1154.0
4481,03:30.030,1,1206.0,976.0,1333.0,1159.0
4496,03:30.530,1,1206.0,974.0,1337.0,1154.0
4511,03:31.030,1,1201.0,989.0,1330.0,1168.0
4526,03:31.530,1,1164.0,1000.0,1293.0,1183.0
4541,03:32.030,1,1170.0,1014.0,1302.0,1194.0
4556,03:32.530,1,1159.0,977.0,1291.0,1153.0
4571,03:33.032,1,1173.0,1043.0,1303.0,1223.0
4586,03:33.532,1,1174.0,981.0,1298.0,1158.0
4601,03:34.032,1,1161.0,1019.0,1287.0,1195.0
4616,03:34.532,1,1166.0,1012.0,1293.0,1187.0
4631,03:35.032,1,1164.0,1009.0,1291.0,1193.0
4646,03:35.532,1,1141.0,1003.0,1266.0,1178.0
4661,03:36.032,1,1103.0,1012.0,1229.0,1189.0
4676,03:36.532,1,1080.0,1004.0,1208.0,1187.0
4690,03:37.000,1,1102.0,1007.0,1230.0,1186.0
4705,03:37.500,1,1106.0,991.0,1234.0,1168.0
4720,03:38.000,1,1097.0,1005.0,1225.0,1187.0
4735,03:38.500,1,1103.0,1020.0,1230.0,1198.0
4750,03:39.000,1,1101.0,1031.0,1228.0,1213.0
4766,03:39.525,1,1072.0,1049.0,1199.0,1225.0
4781,03:40.025,1,1080.0,1119.0,1208.0,1306.0
4796,03:40.525,1,1079.0,1113.0,1206.0,1298.0
4811,03:41.027,1,1078.0,1098.0,1206.0,1284.0
4826,03:41.527,1,1161.0,473.0,1286.0,649.0
4841,03:42.027,1,1211.0,141.0,1348.0,278.0
4856,03:42.527,1,1195.0,142.0,1331.0,278.0
4871,03:43.027,1,1185.0,148.0,1324.0,304.0
4886,03:43.527,1,1192.0,183.0,1329.0,381.0
4901,03:44.027,1,1180.0,341.0,1313.0,534.0
4916,03:44.527,1,1167.0,372.0,1297.0,555.0
4931,03:45.028,1,1157.0,368.0,1289.0,551.0
4946,03:45.528,1,1148.0,381.0,1277.0,564.0
